E	 M	.gitignore	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-account__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-home__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages-help-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages-help-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages-help-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages-help-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages-help-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-messages__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-mobile-nav-open-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-mobile-nav-open-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-mobile-nav-open-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-mobile-nav-open__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-mobile-nav-open__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-mobile-nav-open__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment-access-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment-access-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment-access-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment-access-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment-access-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-payment__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-program__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-program__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-program__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-program__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-program__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions-posts-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions-posts-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions-posts-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions-posts-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions-posts-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-questions__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-schedule__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/provider-worksheets__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-ask-helper-open-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-ask-helper-open-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-ask-helper-open-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-ask-helper-open-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-ask-helper-open-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-assignments-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-assignments-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-assignments-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-assignments-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-assignments-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-calendar-list-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-calendar-list-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-calendar-list-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-calendar-list-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-calendar-list-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-documents-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-documents-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-documents-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-documents-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-documents-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-ask-helper-open__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-ask-helper-open__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-ask-helper-open__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-ask-helper-open__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-ask-helper-open__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-assignments__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-assignments__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-assignments__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-assignments__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-assignments__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-bot__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-bot__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-bot__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-bot__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-bot__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-calendar__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-calendar__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-calendar__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-calendar__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-calendar__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-documents__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-documents__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-documents__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-documents__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-documents__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-goals__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-goals__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-goals__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-goals__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-goals__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-help-account__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-help-account__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-help-account__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-help-account__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-help-account__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-mobile-nav-open__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-mobile-nav-open__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-mobile-nav-open__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-overview__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-overview__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-overview__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-overview__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-overview__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-questions__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-questions__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-questions__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-questions__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-en-questions__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-goals-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-goals-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-goals-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-goals-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-goals-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-he-calendar__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-he-calendar__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-he-overview__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-he-overview__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-he-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-he-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-he-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-he-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-home-he-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-mobile-nav-open-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-mobile-nav-open-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-mobile-nav-open-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-questions-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-questions-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-questions-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-questions-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/student-questions-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/parent-login-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/parent-login-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/parent-login-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/parent-login-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/parent-login-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/provider-home-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/provider-home-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/provider-home-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/provider-home-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/provider-home-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/student-login-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/student-login-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/student-login-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/student-login-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/before/student-login-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-provider-commercial-model.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/release/2026-06-11-operations-release-cleanup/git-untracked-files.txt	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-08-full-system-audit.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-08-watchdog-system-audit.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T11-06-28-834Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T11-07-07-814Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T11-30-40-645Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T11-32-04-623Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T11-33-42-377Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T11-36-10-823Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
